citta,codiceFiscale,cognome,eta,nome,precedenti,ruolo,sesso
Brescia,652V928UH03J8579,Galli,60,Anna,true,Vittima,Femminile
Brescia,ZJKF6N6B1I9F1354,Martini,52,Valentina,false,Criminale,Maschile
Rome,UHQVRRK00C539106,Gallo,68,Laura,false,Criminale,Maschile
Sassari,6J8JAK78N5DBYL47,Romano,49,Valentina,true,Criminale,Femminile
Bari,510GZ638ZZ5YZ318,Barbieri,46,Simone,true,Criminale,Femminile
Latina,66052YJJ99G3320M,Russo,86,Marco,false,Vittima,Maschile
Salerno,04031LL5QM3LTQ0J,Rizzo,76,Alessandro,false,Vittima,Femminile
Florence,HJS79HGEC57989VA,Greco,51,Sofia,false,Vittima,Femminile
Mantua,SHLL7189C9HI0W00,Bianchi,40,Simone,false,Vittima,Femminile
Milan,ZQFF5W828H93Z13F,Greco,10,Francesca,false,Vittima,Femminile
Verona,Z9HJDBNYRP8YUX31,Ferrari,89,Giovanni,false,Criminale,Femminile
Prato,E4R3ZC97KY9I1U05,Lombardi,12,Elisa,false,Criminale,Femminile
Palermo,W6R3KFBFX11E4CP9,Martini,44,Sofia,false,Criminale,Femminile
Salerno,AL9YT6ZX7UCT2371,Galli,40,Sofia,false,Vittima,Femminile
Trieste,114SKJ77S11MBPGS,Galli,51,Giulia,false,Vittima,Femminile
Salerno,27Q8Q78D6P0SPA6J,Russo,42,Maria,true,Criminale,Maschile
Taranto,29OQUPLBE1H7WDDM,Fontana,53,Giulia,false,Vittima,Maschile
Prato,DL0253WNPVMD422F,Rizzo,31,Elisa,true,Vittima,Maschile
Modena,629Z9629E95M0821,Fontana,79,Elisa,true,Vittima,Femminile
Latina,551QP38F5107UO4Z,Bruno,73,Riccardo,true,Criminale,Femminile
Brescia,6ZUYAY58EK5FYB8S,Lombardi,42,Sofia,true,Vittima,Femminile
Rome,MRB4632M5K134RZ7,Ferrara,86,Laura,false,Criminale,Femminile
Turin,9GJ64FA4F3NS9U32,Gallo,90,Simone,true,Vittima,Maschile
Ravenna,D70VQLG9NQ668IU2,Rizzo,26,Lorenzo,true,Vittima,Maschile
Latina,7SG6967N843OD913,Rossi,49,Sofia,true,Criminale,Femminile
Genoa,BS08N2292O016H16,Gallo,48,Lorenzo,false,Vittima,Femminile
Palermo,N4836MWDW5441G5B,Barbieri,58,Laura,false,Vittima,Maschile
Bari,PUCY4IU56170089D,Rossi,44,Francesca,true,Criminale,Maschile
Venice,PGRQB4BD492FPWL9,Galli,34,Matteo,false,Criminale,Maschile
Florence,75X13US11B8L5TG0,Romano,55,Luca,true,Vittima,Maschile
Naples,XCGQSS8WB72161ZS,Romano,65,Chiara,false,Criminale,Femminile
Turin,631D358DQXP7U9M3,Romano,43,Matteo,false,Vittima,Maschile
Venice,O186VUT09LAN12E7,Rossi,33,Matteo,true,Criminale,Maschile
Padua,2Q92AC34QZU7N6QE,Bianchi,24,Giulia,true,Criminale,Femminile
Giugliano,89217LZ4941USL0A,Ferrari,19,Maria,false,Criminale,Maschile
Mantua,355CVDJ69136V95M,Romano,47,Riccardo,false,Vittima,Maschile
Verona,E6RCW58GPGJLBD03,Romano,27,Luca,false,Vittima,Femminile
Pescara,K8IHCCK98EHHVHB3,Bruno,90,Giuseppe,false,Criminale,Maschile
Milan,7F5H3GH7N7WD2PSG,Fontana,52,Anna,true,Criminale,Maschile
Prato,XK857F5W0EPCF2M3,Santoro,41,Marco,false,Criminale,Maschile
Bari,H682NOCMEV4U63LI,Martini,60,Sofia,false,Criminale,Maschile
Reggio,ZZ2EV47ECM2D4G7P,Caruso,72,Giuseppe,true,Vittima,Femminile
Ravenna,FVL9B2A5VL268BMN,Galli,38,Valentina,false,Vittima,Maschile
Prato,1RTZPVWZ1XCUP12U,Caruso,59,Laura,true,Criminale,Femminile
Ferrara,U6HXQ2VBM86SV129,Fontana,44,Elisa,true,Vittima,Maschile
Trieste,5O8DAK9X480L5299,Caruso,34,Francesca,true,Criminale,Femminile
Palermo,6JUVK857Q3GDIF0A,Costa,39,Valentina,false,Criminale,Maschile
Brescia,8W75WLWM3K126PZ0,Marino,45,Chiara,true,Criminale,Maschile
Taranto,2U4AJ768A673M3V9,Costa,59,Lorenzo,false,Vittima,Femminile
Salerno,04HRM1Z634B79716,Marino,83,Elisa,false,Criminale,Maschile
Sassari,0RM60P636G442VXQ,Barbieri,39,Anna,false,Vittima,Maschile
Salerno,2H10G832GM4IZ0JC,Costa,75,Giovanni,true,Vittima,Maschile
Florence,POD483984RBG6P8Y,Russo,72,Alessandro,true,Vittima,Maschile
Mantua,U8AZNZONRV6YDGWV,Russo,34,Valentina,false,Criminale,Femminile
Genoa,3QR9IBQL19BG9PJ5,Bruno,43,Giovanni,false,Criminale,Maschile
Latina,U80MXGN45EXRQCIZ,Santoro,42,Simone,false,Vittima,Maschile
Latina,5DDVLJ47N24JMOSX,Ferrara,60,Elisa,true,Criminale,Femminile
Reggio,13K7H1199V3L758I,Bruno,31,Davide,true,Criminale,Maschile
Latina,68YX513865BN75B3,Conti,40,Valentina,true,Vittima,Femminile
Brescia,2PWZ939ANWJMZI56,Romano,82,Chiara,true,Criminale,Femminile
Mantua,8Q734FYC74K8G522,Costa,68,Laura,false,Criminale,Maschile
Salerno,LLCQ7042E51E2O9W,Ferrara,53,Chiara,false,Vittima,Femminile
Naples,90QI68PH3W5150WB,Romano,47,Elisa,false,Criminale,Femminile
Venice,817Q10TOPM17KSB3,Costa,39,Lorenzo,false,Criminale,Maschile
Rome,KB0P92QEZZ08Y1ZR,Conti,64,Matteo,false,Vittima,Femminile
Milan,LT01WZG72GE915Q3,Fontana,39,Luca,false,Criminale,Maschile
Ravenna,5S6AI88LMM8L832W,Barbieri,34,Lorenzo,true,Vittima,Maschile
Palermo,AHDS71QA12T0JU7R,Ferrari,68,Riccardo,true,Vittima,Maschile
Ravenna,94QB4Y0819R5K65G,Santoro,50,Valentina,true,Vittima,Maschile
Rimini,56U8G8LOVZ8T84B3,Caruso,46,Anna,true,Vittima,Maschile
Brescia,4CXIOI1851O53F46,Ferrari,74,Marco,false,Criminale,Femminile
Rome,1JEEU5EVG4L2QM1Q,Lombardi,59,Sofia,true,Vittima,Maschile
Ferrara,Z8H2Z9MH4P154794,Gallo,28,Giuseppe,true,Vittima,Maschile
Naples,VBJKYPB3A99ED1QK,Martini,80,Elisa,false,Vittima,Maschile
Bologna,MHEK4OHS28X7801I,Moretti,48,Giuseppe,true,Criminale,Maschile
Milan,H4HSV707340CRBU2,Galli,68,Elisa,false,Criminale,Femminile
Milan,M7EZI603J63NM9OA,Lombardi,79,Lorenzo,false,Vittima,Femminile
Parma,5770LBJ31TV96TC5,Bruno,44,Davide,true,Criminale,Femminile
Bari,D0PNLK5S1R44Z8XE,Rossi,33,Laura,false,Criminale,Maschile
Giugliano,8NMALN4L3168P5P4,Moretti,83,Laura,true,Criminale,Femminile
Brescia,60S0Z8843LK505BB,Santoro,52,Maria,true,Vittima,Femminile
Milan,VQ81S2KHM5QME82V,Bruno,58,Maria,true,Criminale,Maschile
Rimini,KA5RRW5SBKLGNH55,Fontana,59,Sofia,false,Vittima,Femminile
Rome,FV555H3Z45O145Z8,Romano,42,Giuseppe,false,Criminale,Femminile
Taranto,1K9IBEYNTJ0BP7TZ,Costa,57,Alessandro,true,Criminale,Femminile
Sassari,57196JN114ZU9H98,Fontana,69,Valentina,false,Vittima,Maschile
Palermo,03DJ2SN6631BZ552,Moretti,19,Francesca,true,Criminale,Maschile
Palermo,3K5B004396O0K8LZ,Ferrari,51,Luca,true,Vittima,Femminile
Modena,QU13015E20V0T453,Santoro,61,Lorenzo,true,Vittima,Maschile
Venice,6X2NG5T5V9EY8378,Rizzo,51,Davide,false,Criminale,Femminile
Rimini,J2I27K0YX1OMJNUF,Moretti,10,Elena,true,Criminale,Maschile
Bari,L818ED5W2STZH0S4,Lombardi,74,Laura,true,Criminale,Maschile
Monza,BK6MA9A12LYD6Q88,Romano,84,Giulia,false,Criminale,Femminile
Prato,5GJI58II1S23T51Z,Caruso,70,Giulia,true,Criminale,Maschile
Foggia,H3U451FKF84F0OJQ,Ferrari,72,Sofia,false,Vittima,Maschile
Ravenna,JWB1CL5072IYX08P,Rossi,61,Simone,true,Criminale,Maschile
Sassari,H1Q29095TL1W2P13,Santoro,68,Maria,true,Vittima,Femminile
Rimini,40S1H2IJ286VJD5A,Costa,53,Luca,true,Criminale,Femminile
Sassari,94Q2233S1LXRO468,Bianchi,86,Elena,true,Vittima,Maschile
Padua,ON0E9Y2WX82OPJG9,Lombardi,17,Simone,true,Criminale,Femminile
Verona,43360WM46ZGKZ876,Galli,29,Marco,false,Criminale,Femminile
Prato,S88ACRLD8Q8S4A9F,Bruno,27,Giulia,true,Criminale,Femminile
Bologna,9JVU74J125W7HCS7,Gallo,45,Simone,false,Vittima,Maschile
Modena,GP1C0H55TR5TLR2M,Santoro,79,Giulia,false,Vittima,Maschile
Brescia,J6982SDO79753197,Caruso,61,Giuseppe,false,Criminale,Maschile
Ravenna,TYXC13M3S4W40H9N,Rossi,72,Matteo,false,Criminale,Femminile
Bari,I7617I75QF2699P5,Galli,11,Giovanni,false,Vittima,Maschile
Turin,3ROA51VRYV0H26YV,Santoro,37,Lorenzo,true,Criminale,Femminile
Ravenna,0KMWY4YJ7B7490L8,Moretti,19,Lorenzo,true,Criminale,Femminile
Trieste,HC7X78ZHE02R45S3,Bruno,86,Francesca,true,Criminale,Maschile
Naples,8QKO2YD17TP87GM4,Fontana,68,Elisa,false,Vittima,Femminile
Venice,A65Y6OI54400TFS8,Greco,77,Francesca,false,Criminale,Maschile
Monza,M6QUM88C5F510B9G,Barbieri,87,Francesca,true,Criminale,Femminile
Bologna,4BR3S35JPNY58FU9,Lombardi,42,Laura,false,Criminale,Femminile
Turin,P0SRDS858324S1Q0,Moretti,28,Riccardo,false,Vittima,Femminile
Pescara,I21K0RT923J4PPS9,Fontana,60,Marco,false,Vittima,Maschile
Palermo,AG5N6376GL2AIV88,Greco,17,Laura,false,Vittima,Maschile
Sassari,Z5X7U79ZJLGQZE1H,Conti,79,Matteo,false,Criminale,Maschile
Rimini,0D4UGS93SP389K10,Lombardi,23,Francesca,false,Criminale,Maschile
Giugliano,B97BA51476O67NW5,Marino,43,Valentina,false,Vittima,Femminile
Parma,83I53DCWG70T8O7P,Fontana,89,Lorenzo,false,Vittima,Maschile
Ferrara,MQT32L5UU0IJ33J8,Marino,65,Sofia,true,Criminale,Femminile
Giugliano,WK3JWRLS4I32TRF5,Martini,25,Giulia,false,Vittima,Femminile
Mantua,M1S3ON1432O9ACH0,Caruso,19,Luca,true,Vittima,Femminile
Turin,8X15ODS530IIT3U0,Lombardi,40,Giovanni,false,Vittima,Femminile
Ravenna,BR3T7E76Q4383PG2,Conti,70,Alessandro,true,Criminale,Femminile
Giugliano,0G23RT11T6W6B3L5,Rizzo,42,Anna,false,Vittima,Femminile
Parma,OJ533P2E80ERGOF6,Romano,62,Sofia,false,Criminale,Femminile
Latina,0A7I3Y6YRWAZ2XNZ,Marino,60,Sofia,true,Vittima,Femminile
Milan,Z8K034WZ7MG0CEB8,Caruso,36,Alessandro,false,Vittima,Maschile
Ferrara,3HL1255Z0LKK3W94,Gallo,40,Riccardo,true,Vittima,Maschile
Milan,05MN035WD3SH269X,Lombardi,36,Chiara,true,Criminale,Maschile
Verona,2V81M3JDO47OWLGA,Bianchi,41,Francesca,true,Criminale,Femminile
Mantua,G06QU1DP2XEX10VE,Rizzo,24,Riccardo,false,Criminale,Maschile
Trieste,8895D5SNP351T1H3,Moretti,11,Marco,false,Vittima,Maschile
Giugliano,F41GK8E9C78R8XBN,Russo,18,Sofia,false,Criminale,Maschile
Trieste,9X4SM1788HHN5ZT2,Moretti,56,Giovanni,false,Criminale,Maschile
Rome,71116IT27SKGD2RU,Rizzo,66,Elisa,false,Vittima,Maschile
Venice,33OB102K3BJ802W9,Santoro,11,Simone,false,Vittima,Femminile
Venice,9S118S636M22YA6R,Greco,44,Giulia,false,Vittima,Maschile
Monza,I21Q34U9RRLQAQ98,Rizzo,63,Maria,false,Criminale,Maschile
Naples,XY4048R714V2GBXI,Fontana,24,Francesca,true,Vittima,Femminile
Salerno,HTF07SNTA5O4M0M0,Conti,84,Alessandro,true,Criminale,Maschile
Sassari,7802E403UW0R8P1T,Barbieri,48,Simone,false,Criminale,Maschile
Pescara,5HZ2005U5F9FT452,Greco,85,Elena,false,Vittima,Femminile
Foggia,5CXR87T9BEU12R5B,Caruso,22,Francesca,true,Criminale,Femminile
Ferrara,Z76PXBOF93G1U92D,Moretti,74,Laura,true,Criminale,Maschile
Rimini,1ET7631101F4YN3W,Conti,84,Simone,false,Criminale,Femminile
