citta,codiceFiscale,cognome,eta,nome,precedenti,ruolo,sesso
Genoa,HARZJMT2G6Q7HHKN,Greenin,63,Daile,false,Vittima,Maschile
Milan,G61HM96155K388RW,Cornilli,18,Edmon,true,Criminale,Femminile
Naples,6SJ6V9573K9140I3,Rivalland,80,Maximilianus,true,Criminale,Femminile
Genoa,0H0X25JA8JP0U54U,Darnbrook,28,Carmela,true,Criminale,Maschile
Florence,DC5M37Q32S51M038,Giraths,27,Devora,false,Criminale,Maschile
Florence,Q8G6Z9Y0A02M4BR9,Boij,51,Esther,false,Vittima,Femminile
Naples,Z0R2U3TPRMQS7943,Tayloe,32,Galvan,true,Vittima,Maschile
Naples,5I3000844K96Z483,Sculpher,56,Nicolais,false,Vittima,Femminile
Turin,00147D727QQ2CE4I,Clapham,58,Bertine,true,Vittima,Femminile
Palermo,5Z67T38X3597706B,Rutledge,48,Finn,true,Vittima,Femminile
Venice,OO3852VB3F6K3832,Gatiss,48,Aurea,true,Criminale,Femminile
Naples,78K001H00WI918YV,Groneway,55,Burr,false,Criminale,Maschile
Rome,4AD1Q1RF7AX921UZ,Sandon,31,Yurik,true,Criminale,Femminile
Florence,I7WWO218ZOA88V56,Cowup,18,Evangelia,false,Vittima,Femminile
Naples,31U342BE281BFJN8,Dicky,88,Ettore,true,Vittima,Maschile
Milan,1UF579J946LVSOLU,Filipczak,71,Klaus,true,Criminale,Femminile
Turin,24845S24YC7267W8,Hierro,85,Hamil,false,Vittima,Maschile
Rome,C7WF0G1KS201C961,Ovendon,34,Goldie,true,Vittima,Femminile
Venice,P82D8I4MN9SO7Z4J,Knellen,75,Ronni,false,Vittima,Femminile
Rome,C662B6RZIUPC87Q7,Wrigley,40,Mureil,true,Criminale,Femminile
Naples,426L8V0G1K8BR8MQ,MacIntosh,45,Elane,true,Vittima,Maschile
Genoa,R4F93B038L668KQ4,Mollison,77,Tana,true,Criminale,Femminile
Milan,125X5E9385783E1O,Scholig,52,Daisey,false,Vittima,Femminile
Florence,5MPA9P0S4CHZWC06,Bruckstein,66,Oliver,false,Vittima,Femminile
Turin,VJPO323723AF2I86,Ell,45,Lucia,true,Criminale,Femminile
Venice,T296UPQ7035QLM03,Wragge,23,Rodrigo,false,Vittima,Femminile
Milan,524XSTLU3Z5R25GI,Mapplethorpe,89,Gage,false,Vittima,Maschile
Bologna,AK92N7I82576A1X0,Janicki,64,Tess,true,Criminale,Maschile
Genoa,O96P3U5O6FV7286C,Rate,24,Auberon,false,Criminale,Femminile
Rome,629OH6ZRNK8AUJ78,Bickersteth,41,Caye,false,Vittima,Maschile
Bologna,LQY30O42RA9AV66B,Phlippsen,67,Andonis,false,Criminale,Maschile
Genoa,A0XFHQ1XS7W802O8,Adrianello,54,Rip,true,Vittima,Maschile
Turin,ZDB478BXZ04FB83P,Aulton,26,Cleopatra,false,Criminale,Maschile
Palermo,PB9BJ2H97JEO76N7,Castellucci,19,Inigo,false,Criminale,Maschile
Milan,UN9CT9734852OTPK,Vergine,54,Vere,false,Criminale,Femminile
Venice,42859KX9ME03IC8K,Harridge,62,Skippie,false,Vittima,Femminile
Palermo,72S46Z22YJO649O3,Iron,76,Sargent,true,Vittima,Maschile
Genoa,HAMUQ6JCRC615J75,Dayton,85,Zed,false,Criminale,Femminile
Florence,W34PT1YH5WT712FC,Sebastian,28,Hercules,true,Criminale,Femminile
Bologna,1ZM1D499J741A1SL,Wailes,19,Gayle,true,Criminale,Femminile
Verona,PMG11P4R6YWI2Z5P,Digance,89,Alexander,true,Criminale,Maschile
Milan,J216BY8R0X2H0KVQ,Leel,89,Kristel,false,Vittima,Maschile
Milan,AM4LD844WFZA2RIE,Gargett,77,Derry,false,Vittima,Maschile
Rome,53QTEH6DNNR4873I,Dumbrall,49,Ilka,false,Criminale,Femminile
Venice,MWTZA1O13SI94CHJ,Boscher,65,Meara,false,Vittima,Femminile
Rome,6D17199E0Y6OZ6B0,Feedome,62,Doro,true,Criminale,Maschile
Verona,880D8C0W6W40W4K1,Mebes,43,Ros,false,Criminale,Maschile
Florence,062W2N347527Q8NC,Hallick,66,Dot,true,Criminale,Femminile
Palermo,873IA53OUG09HX80,Spence,36,Gail,false,Vittima,Femminile
Verona,35OS5N48437S25R7,Blackaller,41,Annabelle,true,Criminale,Femminile
Bologna,19O1UT5GJ02481CK,Reihm,38,Kahaleel,false,Vittima,Femminile
Rome,QZMK8Q0C2X272E36,Troak,17,Casey,false,Vittima,Femminile
Bologna,3UOXIWB3H9UTH27Z,Siddeley,56,Darsey,false,Vittima,Maschile
Naples,A38B579Y519Z7CI3,O'Henecan,33,Michell,true,Criminale,Maschile
Genoa,U88683O91UNX5JR6,Strettle,85,Tate,true,Criminale,Maschile
Venice,293YX3E645U6WS45,Kilby,36,Even,true,Vittima,Femminile
Turin,53D6W8XA3777RH1D,McErlaine,71,Andrey,true,Criminale,Femminile
Bologna,8BQKKUQJJ911UQ4H,Huck,71,Jamesy,true,Criminale,Maschile
Genoa,9V73BX20R1W6UHQS,Itzcovich,40,Stearne,false,Vittima,Maschile
Rome,U233BBB02JMR327O,Jancy,25,Torrey,false,Criminale,Femminile
Genoa,084Q7Z2T54Z6U953,Checketts,69,Margalit,false,Criminale,Femminile
Rome,966A9T6W4TH66LP8,Brettelle,14,Donal,false,Vittima,Femminile
Verona,5134WV5BGW66F4T5,Treace,44,Perla,true,Criminale,Femminile
Florence,Q557P8TTD2V0N291,Cisar,76,Nanni,false,Criminale,Femminile
Bologna,F5174HJOVZD4O8J5,Kestin,71,Rora,false,Vittima,Femminile
Palermo,P67VR1792I5S5F7U,Minshaw,62,Padriac,false,Criminale,Maschile
Verona,F4XI7PDM916JW5W2,Getsham,43,Philippa,false,Vittima,Maschile
Genoa,55J9V7B0K76U632T,Phillott,69,Sawyere,true,Vittima,Femminile
Verona,3SZ7L9Q6XK7TQX31,Penas,42,Dominga,true,Vittima,Maschile
Rome,U8727W6B50LMGC0J,Guswell,19,Jillene,false,Vittima,Femminile
Milan,66C65ARS4I6M85K1,Gregori,54,Isis,true,Criminale,Maschile
Venice,K3F5UWWP77GVCXK3,Maddinon,72,Nevins,false,Vittima,Maschile
Florence,7YBO3U77OU9HGW6K,Lowth,54,Sarette,false,Vittima,Maschile
Naples,3682PG8CFR20X23J,Calltone,70,Korney,false,Vittima,Maschile
Verona,95L47H2JR5EP7DC5,Heyburn,70,Emmett,false,Criminale,Femminile
Verona,QG3S4GU600QNOJF1,Baseggio,61,Ruthe,false,Criminale,Femminile
Verona,5QEW2S5620H90V1S,Cahen,81,Lira,true,Vittima,Maschile
Milan,1K47P9U0L775F86R,Piesold,61,Philip,true,Criminale,Femminile
Venice,2Z460KE3NFQPWQB8,Woodroff,59,Rurik,true,Criminale,Femminile
Palermo,GI6T2DN7TCK90KIT,Hanmer,20,Chloe,true,Criminale,Femminile
Bologna,N29P00OOG20BEVFE,Gumme,77,Gayleen,false,Vittima,Femminile
Venice,D1BE151H8R2SE585,Gobeau,38,Austin,false,Criminale,Femminile
Genoa,WB25J3ROU30E6Y00,De Paepe,49,Aubree,false,Vittima,Femminile
Palermo,36421QLH8I80PX45,Dehn,85,Shena,true,Criminale,Maschile
Milan,NR9LR60M3DJF43G8,Usborn,69,Samaria,false,Criminale,Femminile
Naples,2A28DCVEZV764C67,Potts,53,Jeri,true,Vittima,Maschile
Rome,GJH404S9B8V61M20,Van der Kruijs,62,Evered,true,Criminale,Femminile
Turin,41P5244W48FBW4K1,Gleadhell,47,Alleyn,false,Vittima,Maschile
Naples,P43Y79Y073LR34P7,Licciardello,41,Rachele,true,Vittima,Femminile
Venice,R4173GNJ7R488R4A,Bauchop,89,Even,true,Criminale,Femminile
